Temp	date	dt	vW	dW	method	ef	aer	wd	lg_aer	lg_ef	season1	season2	season3	h	t	season4
-2.41666667	02FEB2017	02FEB2017:08:00:00	4.02416408	134.80334	4	0.522629337	2422.3390385	E	7.7924888972	-0.648882791	W	W	W	8	2240	3
-2.41666667	09FEB2017	09FEB2017:17:00:00	1.2991015	105.799004	1	1.36450698	462.75839154	E	6.1372050854	0.3107931766	W	W	W	17	2417	3
-2.41666667	09FEB2017	09FEB2017:17:00:00	1.2991015	105.799004	4	1.35280564	652.38347615	E	6.4806325426	0.3021806877	W	W	W	17	2417	3
-2.41666667	14FEB2017	14FEB2017:00:00:00	0.763315136	107.292128	1	1.33140047	661.16989846	E	6.4940108393	0.2862313732	W	W	W	0	2520	3
-2.41666667	14FEB2017	14FEB2017:00:00:00	0.763315136	107.292128	4	0.833645308	574.79050923	E	6.3540056426	-0.181947257	W	W	W	0	2520	3
-2.33333333	06JAN2017	06JAN2017:01:00:00	0.643606406	336.813547	1	0.9031649	448.50926846	N	6.1059293468	-0.101850129	W	W	W	1	1585	3
-2.33333333	06JAN2017	06JAN2017:01:00:00	0.643606406	336.813547	4	0.882118444	474.79797	N	6.1628893872	-0.125428942	W	W	W	1	1585	3
-2.33333333	10FEB2017	10FEB2017:03:00:00	0.679960116	105.328325	1	0.80299346	485.45231077	E	6.1850810559	-0.21940871	W	W	W	3	2427	3
-2.33333333	10FEB2017	10FEB2017:03:00:00	0.679960116	105.328325	4	0.675970446	619.72635462	E	6.4292780171	-0.391605923	W	W	W	3	2427	3
-2.25	11FEB2017	11FEB2017:01:00:00	1.38419122	108.330188	1	0.84700631	490.72457462	E	6.1958830226	-0.166047135	W	W	W	1	2449	3
-2.25	11FEB2017	11FEB2017:01:00:00	1.38419122	108.330188	4	0.767135109	653.06954692	E	6.4816836273	-0.265092341	W	W	W	1	2449	3
-2.25	13FEB2017	13FEB2017:05:00:00	1.51795312	109.075843	1	0.94290148	437.02619077	E	6.0799931264	-0.058793477	W	W	W	5	2501	3
-2.25	13FEB2017	13FEB2017:05:00:00	1.51795312	109.075843	4	0.793477608	447.28734308	E	6.1032012138	-0.231329959	W	W	W	5	2501	3
-2.25	13FEB2017	13FEB2017:18:00:00	0.828303298	106.951938	1	0.8721116	808.43145385	E	6.6950958935	-0.136837882	W	W	W	18	2514	3
-2.25	13FEB2017	13FEB2017:18:00:00	0.828303298	106.951938	4	0.722005102	1020.9439615	E	6.9284829308	-0.325723074	W	W	W	18	2514	3
-2.16666667	07JAN2017	07JAN2017:07:00:00	3.17177613	182.179872	1	0.77015658	1189.8683769	S	7.0815979724	-0.261161434	W	W	W	7	1615	3
-2.16666667	07JAN2017	07JAN2017:07:00:00	3.17177613	182.179872	4	0.851255547	1245.9446462	S	7.1276492731	-0.161042905	W	W	W	7	1615	3
-2.16666667	13FEB2017	13FEB2017:23:00:00	1.34312862	118.263626	1	0.94447172	469.02212231	E	6.1506499364	-0.057129534	W	W	W	23	2519	3
-2.16666667	13FEB2017	13FEB2017:23:00:00	1.34312862	118.263626	4	0.788556984	557.52548462	E	6.3235082146	-0.237550606	W	W	W	23	2519	3
-2.08333333	05JAN2017	05JAN2017:18:00:00	0.411539597	341.994561	1	1.82249899	817.4628	N	6.7062053971	0.6002086307	W	W	W	18	1578	3
-2.08333333	05JAN2017	05JAN2017:18:00:00	0.411539597	341.994561	4	1.25563153	805.80973077	N	6.6918476486	0.2276386572	W	W	W	18	1578	3
-2.08333333	13FEB2017	13FEB2017:16:00:00	0.193424303	11.3160611	1	0.96331048	1674.3209077	N	7.4231629338	-0.03737951	W	W	W	16	2512	3
-2.08333333	13FEB2017	13FEB2017:16:00:00	0.193424303	11.3160611	4	0.908918185	1430.7461	N	7.2659513354	-0.095500194	W	W	W	16	2512	3
-2.08333333	13FEB2017	13FEB2017:22:00:00	1.36881549	120.507089	1	1.13778929	719.12031923	E	6.5780286862	0.1290871604	W	W	W	22	2518	3
-2.08333333	13FEB2017	13FEB2017:22:00:00	1.36881549	120.507089	4	0.865496128	701.03799	E	6.5525620796	-0.144452378	W	W	W	22	2518	3
-2	11FEB2017	11FEB2017:02:00:00	0.797209994	105.844454	1	0.82332417	520.36800538	E	6.2545362639	-0.194405268	W	W	W	2	2450	3
-2	11FEB2017	11FEB2017:02:00:00	0.797209994	105.844454	4	0.719242834	789.54266154	E	6.6714538684	-0.32955624	W	W	W	2	2450	3
-1.91666667	05JAN2017	05JAN2017:23:00:00	0.844993009	328.360816	1	1.64433381	635.11136692	W	6.4538003645	0.4973353235	W	W	W	23	1583	3
-1.91666667	05JAN2017	05JAN2017:23:00:00	0.844993009	328.360816	4	1.10537298	576.37151769	W	6.3567524488	0.1001828165	W	W	W	23	1583	3
-1.91666667	11FEB2017	11FEB2017:04:00:00	1.76452208	109.241496	1	0.73887128	540.72641231	E	6.2929134436	-0.302631555	W	W	W	4	2452	3
-1.91666667	11FEB2017	11FEB2017:04:00:00	1.76452208	109.241496	4	0.637778715	782.48272308	E	6.662471843	-0.449763897	W	W	W	4	2452	3
